Star Name,Identity,SAO,HD,FK5,Magnitude,Spectral class,Right ascension,Declination,Proper motion RA,Proper Motion Dec
Wazn,Beta Columbae,196240,39425,223,3.12,K2III,5h 50.960m,-35° 46.100',0.059,0.401
Wezen,Delta Canis Majoris,173047,54605,273,1.84,F8Ia,7h 8.392m,-26° 23.600',-0.003,0.004
Yed Posterior,Epsilon Ophiuchi,141086,146791,605,3.24,G9.5IIIbFe-0.5,16h 18.322m,-4° 41.550',0.085,0.041
Yed Prior,Delta Ophiuchi,141052,146051,603,2.74,M0.5III,16h 14.345m,-3° 41.667',-0.044,-0.143
Yildun,Delta Ursae Minoris,2937,166205,913,4.36,A1Vn,17h 32.215m,86° 35.183',0.009,0.056
Zaniah,Epsilon Virginis,100384,113226,488,2.83,G8IIIab,13h 2.177m,10° 57.550',-0.273,0.02
Zaurac,Gamma Eridani,149283,25025,149,2.95,M0.5IIICa-1Cr-1,3h 58.030m,-13° 30.517',0.061,-0.111
Zavijava,Beta Virginis,119076,102870,445,3.61,F9V,11h 50.695m,1° 45.883',0.743,-0.271
Zosma,Delta Leonis,81727,97603,422,2.56,A4V,11h 14.108m,20° 31.417',0.142,-0.13
Zubenelgenubi,Alpha Librae,158840,130841,548,2.75,A3IV,14h 50.878m,-16° 2.500',-0.106,-0.067
Zubenelhakrabi,Gamma Librae,159370,138905,577,3.91,G8.5III,15h 35.527m,-14° 47.367',0.065,0.009
Zubeneshamali,Beta Librae,140430,135742,564,2.61,B8V,15h 17.007m,-9° 22.983',-0.096,-0.019
